,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,-9999
74,Mehmet Zeki Çelik,DF,tr Turkey,23,1997,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.01,0.04,0.05,0.01,0.05,Matches,31a62dc7
75,Ondrej Celustka,DF,cz Czech Republic,31,1989,5,5,424,4.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,393a257c
76,Nacer Chadli,DF,be Belgium,31,1989,2,1,94,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.09,0.01,0.10,0.09,0.10,Matches,5b54bf3b
77,Denis Cheryshev,FWMF,ru Russia,30,1990,1,0,33,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.06,0.06,0.00,0.06,Matches,0ac94a23
78,Giorgio Chiellini,DF,it Italy,36,1984,5,5,443,4.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.01,0.02,0.02,0.02,Matches,e85fb9b8
79,Federico Chiesa,FW,it Italy,23,1997,7,4,439,4.9,2,0,2,0,0,0,0,0.41,0.00,0.41,0.41,0.41,0.8,0.8,0.8,1.6,0.17,0.17,0.34,0.17,0.34,Matches,b0f7e36c
80,Andreas Christensen,DF,dk Denmark,24,1996,6,6,518,5.8,1,0,1,0,0,0,0,0.17,0.00,0.17,0.17,0.17,0.2,0.2,0.0,0.2,0.03,0.00,0.03,0.03,0.03,Matches,1cb49278
81,Ryan Christie,FW,sct Scotland,25,1995,1,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.27,0.27,0.00,0.27,Matches,26ce2263
82,Darko Churlinov,FW,mk North Macedonia,20,2000,2,0,80,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.05,0.05,0.00,0.05,Matches,c6608135
83,Viktor Claesson,MFFW,se Sweden,29,1992,4,0,86,1.0,1,0,1,0,0,0,0,1.05,0.00,1.05,1.05,1.05,0.4,0.4,0.0,0.4,0.47,0.00,0.47,0.47,0.47,Matches,b3a712de
84,Kingsley Coman,MFFW,fr France,24,1996,2,0,90,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.14,0.16,0.30,0.14,0.30,Matches,042e8a49
85,Liam Cooper,DF,sct Scotland,29,1991,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.04,0.04,0.00,0.04,Matches,dc64b8b3
86,Andreas Evald Cornelius,FW,dk Denmark,27,1993,4,0,61,0.7,0,1,0,0,0,0,0,0.00,1.48,1.48,0.00,1.48,0.2,0.2,0.3,0.5,0.30,0.42,0.72,0.30,0.72,Matches,c693347d
87,Vladimír Coufal,DF,cz Czech Republic,28,1992,5,5,450,5.0,0,1,0,0,0,1,0,0.00,0.20,0.20,0.00,0.20,0.1,0.1,0.9,1.0,0.02,0.18,0.20,0.02,0.20,Matches,fdf3cb77
88,Thibaut Courtois,GK,be Belgium,28,1992,5,5,450,5.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,1840e36d
89,Bryan Cristante,MF,it Italy,25,1995,6,0,134,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.07,0.02,0.10,0.07,0.10,Matches,16657b95
90,Tamás Cseri,MF,hu Hungary,33,1988,1,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,7e2a76e6
91,José Diogo Dalot Teixeira,DF,pt Portugal,21,1999,2,1,102,1.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,d9565625
92,Mikkel Damsgaard,MFFW,dk Denmark,20,2000,5,5,325,3.6,2,1,2,0,0,1,0,0.55,0.28,0.83,0.55,0.83,0.8,0.8,0.4,1.2,0.23,0.11,0.34,0.23,0.34,Matches,215f3907
93,Marcus Andreas Danielsson,DF,se Sweden,31,1989,4,4,368,4.1,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.09,0.00,0.09,0.09,0.09,Matches,aae48df1
94,Vladimír Darida,MF,cz Czech Republic,30,1990,4,3,247,2.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.02,0.07,0.09,0.02,0.09,Matches,3eb0f2df
95,Ben Davies,DF,wls Wales,27,1993,4,3,275,3.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.00,0.03,0.03,0.03,Matches,44781702
96,Paweł Dawidowicz,DF,pl Poland,25,1995,1,0,6,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,16bb656a
