,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,-9999
329,Bruno Petković,FW,hr Croatia,26,1994,4,2,172,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.11,0.01,0.13,0.11,0.13,Matches,24228180
330,Kalvin Phillips,MF,eng England,25,1995,7,7,664,7.4,0,1,0,0,0,1,0,0.00,0.14,0.14,0.00,0.14,0.1,0.1,0.3,0.4,0.01,0.04,0.05,0.01,0.05,Matches,4f565d77
331,Jordan Pickford,GK,eng England,26,1994,7,7,690,7.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,4806ec67
332,Paul Pogba,MF,fr France,27,1993,4,4,375,4.2,1,1,1,0,0,0,0,0.24,0.24,0.48,0.24,0.48,0.4,0.4,1.2,1.5,0.09,0.28,0.36,0.09,0.36,Matches,867239d3
333,Joel Pohjanpalo,FW,fi Finland,26,1994,3,3,242,2.7,1,0,1,0,0,0,0,0.37,0.00,0.37,0.37,0.37,0.9,0.9,0.1,1.0,0.35,0.04,0.39,0.35,0.39,Matches,ea003d07
334,Yussuf Yurary Poulsen,FW,dk Denmark,26,1994,5,3,295,3.3,2,0,2,0,0,0,0,0.61,0.00,0.61,0.61,0.61,1.4,1.4,0.6,2.0,0.42,0.19,0.61,0.42,0.61,Matches,d2416c2e
335,Dennis Praet,DFMF,be Belgium,26,1994,2,0,31,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,86695068
336,Quincy Anton Promes,FWDF,nl Netherlands,29,1992,2,0,59,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.04,0.00,0.04,0.04,0.04,Matches,b182a240
337,Tymoteusz Puchacz,DF,pl Poland,22,1999,3,2,152,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matches,c68b1b13
338,Teemu Pukki,FW,fi Finland,30,1990,3,3,238,2.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.6,0.16,0.06,0.22,0.16,0.22,Matches,0745b37d
339,Przemysław Płacheta,MF,pl Poland,22,1998,1,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.19,0.62,0.81,0.19,0.81,Matches,3c33f9d9
340,Robin Quaison,FW,se Sweden,27,1993,4,1,127,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.07,0.00,0.07,0.07,0.07,Matches,74c7c2db
341,Adrien Rabiot,DFMF,fr France,25,1995,4,3,304,3.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.07,0.00,0.07,0.07,0.07,Matches,8794e251
342,Jukka Raitala,DF,fi Finland,32,1988,3,3,253,2.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,67b054d1
343,Aaron Ramsey,MFFW,wls Wales,30,1990,4,4,353,3.9,1,0,1,0,0,0,0,0.25,0.00,0.25,0.25,0.25,1.6,1.6,0.3,1.9,0.42,0.07,0.49,0.42,0.49,Matches,ef619b0b
344,Marcus Rashford,FW,eng England,23,1997,5,0,88,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,a1d5bd30
345,Giacomo Raspadori,FW,it Italy,20,2000,1,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.48,0.00,0.48,0.48,0.48,Matches,6e058f06
346,Ante Rebić,FW,hr Croatia,27,1993,4,3,198,2.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.1,0.6,0.24,0.03,0.27,0.24,0.27,Matches,536cebe5
347,Declan Rice,MF,eng England,22,1999,7,7,535,5.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.00,0.01,0.01,0.00,0.01,Matches,1c7012b8
348,Kire Ristevski,MF,mk North Macedonia,30,1990,1,0,6,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,6974bca3
349,Milan Ristovski,FW,mk North Macedonia,22,1998,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,ea1ea3ad
350,Stefan Ristovski,DF,mk North Macedonia,28,1992,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches,7e56d3db
351,Connor Roberts,DF,wls Wales,25,1995,4,4,309,3.4,1,0,1,0,0,0,0,0.29,0.00,0.29,0.29,0.29,0.1,0.1,0.2,0.3,0.04,0.04,0.08,0.04,0.08,Matches,24fae784
352,Tyler Roberts,FW,wls Wales,22,1999,1,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,6c17e046
353,Andrew Robertson,DF,sct Scotland,26,1994,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,1.0,1.1,0.04,0.33,0.37,0.04,0.37,Matches,2e4f5f03
354,Joe Rodon,DF,wls Wales,23,1997,4,4,360,4.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.09,0.10,0.00,0.10,Matches,8d62d31a
355,Rodrigo Hernández Cascante,MF,es Spain,24,1996,5,2,227,2.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.14,0.03,0.16,0.14,0.16,Matches,6434f10d
356,Ricardo Iván Rodríguez Araya,DF,ch Switzerland,28,1992,5,5,476,5.3,0,0,0,0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.8,0.0,0.6,0.6,0.15,0.10,0.25,0.00,0.11,Matches,7f78ad23
357,Cristiano Ronaldo dos Santos Aveiro,FW,pt Portugal,35,1985,4,4,360,4.0,5,1,2,3,3,0,0,1.25,0.25,1.50,0.50,0.75,4.8,2.5,1.2,3.7,1.21,0.29,1.50,0.64,0.93,Matches,dea698d9
358,Marten de Roon,MF,nl Netherlands,29,1991,3,3,235,2.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.03,0.04,0.00,0.04,Matches,2a1beb34
359,Antonio Rüdiger,DF,de Germany,27,1993,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01,Matches,18b896d6
360,Fabián Ruiz Peña,MF,es Spain,24,1996,3,0,71,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.11,0.00,0.11,0.11,0.11,Matches,c0c7ff58
361,Maciej Rybus,DF,pl Poland,31,1989,1,1,73,0.8,0,1,0,0,0,0,0,0.00,1.23,1.23,0.00,1.23,0.1,0.1,0.2,0.3,0.11,0.30,0.41,0.11,0.41,Matches,86dd16a8
362,Marcel Sabitzer,MF,at Austria,26,1994,4,4,390,4.3,0,1,0,0,0,0,0,0.00,0.23,0.23,0.00,0.23,0.8,0.8,0.6,1.4,0.17,0.14,0.32,0.17,0.32,Matches,e280527c
363,Michal Sadílek,MF,cz Czech Republic,21,1999,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,7c9fa389
364,Matvey Safonov,GK,ru Russia,21,1999,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,d97b252e
365,Bukayo Saka,FW,eng England,19,2001,4,3,269,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,bc7dc64d
366,Roland Sallai,FW,hu Hungary,23,1997,3,3,240,2.7,0,1,0,0,0,0,0,0.00,0.37,0.37,0.00,0.37,0.3,0.3,0.3,0.6,0.11,0.11,0.23,0.11,0.23,Matches,bf075f6b
367,Renato Júnior Luz Sanches,MF,pt Portugal,23,1997,4,2,219,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.3,0.03,0.11,0.14,0.03,0.14,Matches,032f894e
368,Jadon Sancho,FW,eng England,20,2000,3,1,98,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,dbf053da
369,Leroy Sané,FWDF,de Germany,25,1996,4,1,114,1.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.04,0.02,0.06,0.04,0.06,Matches,2b114be3
370,Pablo Sarabia García,FW,es Spain,28,1992,5,3,253,2.8,2,1,2,0,0,0,0,0.71,0.36,1.07,0.71,1.07,1.1,1.1,1.4,2.5,0.40,0.50,0.90,0.40,0.90,Matches,9744ff80
371,Ľubomír Šatka,DF,sk Slovakia,25,1995,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.03,0.03,0.00,0.03,Matches,d665d581
372,András Schäfer,MF,hu Hungary,21,1999,3,3,228,2.5,1,0,1,0,0,0,0,0.39,0.00,0.39,0.39,0.39,0.2,0.2,0.1,0.3,0.09,0.02,0.12,0.09,0.12,Matches,049751d7
373,Fabian Lukas Schär,DFMF,ch Switzerland,29,1991,4,2,191,2.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.06,0.00,0.06,0.06,0.06,Matches,c8aa95da
374,Louis Schaub,MF,at Austria,26,1994,1,0,15,0.2,0,1,0,0,0,0,0,0.00,6.00,6.00,0.00,6.00,0.1,0.1,0.1,0.1,0.47,0.38,0.84,0.47,0.84,Matches,b50ec54b
375,Patrik Schick,FW,cz Czech Republic,25,1996,5,5,400,4.4,5,0,4,1,1,0,0,1.13,0.00,1.13,0.90,0.90,2.4,1.7,0.0,1.7,0.54,0.00,0.54,0.37,0.37,Matches,5d4f7d61
376,Xaver Schlager,MF,at Austria,23,1997,4,4,367,4.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.04,0.04,0.08,0.04,0.08,Matches,8f056768
377,Kasper Schmeichel,GK,dk Denmark,34,1986,6,6,570,6.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches,53af52f3
378,Szabolcs Schön,FW,hu Hungary,20,2000,2,0,30,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,d5ff481a
379,Alessandro Schöpf,FW,at Austria,26,1994,2,0,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.6,0.6,0.03,0.57,0.59,0.03,0.59,Matches,106bca06
380,Rasmus Schüller,MF,fi Finland,29,1991,3,1,113,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,0e624c72
381,Haris Seferović,FW,ch Switzerland,28,1992,5,5,379,4.2,3,0,3,0,0,0,0,0.71,0.00,0.71,0.71,0.71,1.1,1.1,0.7,1.8,0.27,0.16,0.43,0.27,0.43,Matches,a45eac1f
382,Nélson Cabral Semedo,DF,pt Portugal,27,1993,3,3,258,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.08,0.08,0.00,0.08,Matches,d04b94db
383,Andrei Semyonov,DF,ru Russia,31,1989,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,4f2f150e
384,Petr Ševčík,FWMF,cz Czech Republic,26,1994,5,2,228,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.02,0.15,0.17,0.02,0.17,Matches,d4232ba9
385,Mykola Shaparenko,MF,ua Ukraine,22,1998,5,4,321,3.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.03,0.04,0.07,0.03,0.07,Matches,17e3e467
386,Xherdan Shaqiri,MF,ch Switzerland,29,1991,5,5,366,4.1,3,1,3,0,0,0,0,0.74,0.25,0.98,0.74,0.98,1.4,1.4,0.9,2.2,0.34,0.21,0.55,0.34,0.55,Matches,6421ec64
387,Luke Shaw,DF,eng England,25,1995,6,6,574,6.4,1,3,1,0,0,0,0,0.16,0.47,0.63,0.16,0.63,0.2,0.2,1.2,1.4,0.03,0.18,0.22,0.03,0.22,Matches,9c94165b
388,Anton Shunin,GK,ru Russia,34,1987,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,5ab84204
389,David Siger,MF,hu Hungary,30,1990,1,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,3d2320f7
390,André Miguel Valente Silva,FW,pt Portugal,25,1995,3,0,39,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.72,0.14,0.86,0.72,0.86,Matches,3effaa34
391,Bernardo Mota Veiga de Carvalho e Silva,FWMF,pt Portugal,26,1994,4,4,240,2.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.12,0.12,0.00,0.12,Matches,3eb22ec9
392,Rafael Alexandre Fernandes Ferreira da Silva,FWMF,pt Portugal,27,1993,2,0,53,0.6,0,2,0,0,0,0,0,0.00,3.40,3.40,0.00,3.40,0.0,0.0,0.7,0.7,0.00,1.17,1.17,0.00,1.17,Matches,70cf63ca
393,Unai Simón Mendibil,GK,es Spain,23,1997,6,6,630,7.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,5dcf3e90
394,Salvatore Sirigu,GK,it Italy,34,1987,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,10dc46f0
395,Moussa Sissoko,MF,fr France,31,1989,2,0,37,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.1,0.14,0.12,0.26,0.14,0.26,Matches,2acd49b9
396,Andreas Skov Olsen,FWMF,dk Denmark,21,1999,2,0,35,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.27,0.27,0.00,0.27,Matches,c50cee19
397,Milan Škriniar,DF,sk Slovakia,25,1995,3,3,270,3.0,1,0,1,0,0,1,0,0.33,0.00,0.33,0.33,0.33,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches,30f5ffa9
398,Eduard Sobol,MF,ua Ukraine,25,1995,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2ccd89a3
399,Aleksandr Sobolev,FW,ru Russia,23,1997,2,0,36,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.26,0.26,0.00,0.26,Matches,5a068ec6
400,Pyry Henri Hidipo Soiri,DF,fi Finland,26,1994,1,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,59671448
401,Yann Sommer,GK,ch Switzerland,32,1988,5,5,510,5.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,420c18a1
402,Tomáš Souček,MF,cz Czech Republic,25,1995,5,5,450,5.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.2,1.1,0.18,0.05,0.22,0.18,0.22,Matches,6613c819
403,Djibril Sow,MF,ch Switzerland,23,1997,2,0,47,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.04,0.00,0.04,0.04,0.04,Matches,4c6facae
404,Caglar Söyüncü,DF,tr Turkey,24,1996,3,3,270,3.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches,21166ff4
405,Tim Sparv,MF,fi Finland,33,1987,2,2,133,1.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,52fc493c
406,Leonardo Spinazzola,DF,it Italy,27,1993,4,4,378,4.2,0,2,0,0,0,0,0,0.00,0.48,0.48,0.00,0.48,0.6,0.6,0.7,1.4,0.15,0.18,0.32,0.15,0.32,Matches,3626daea
407,Stefan Spirovski,MF,mk North Macedonia,30,1990,1,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,b273f964
408,Maarten Stekelenburg,GK,nl Netherlands,38,1982,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,fefce889
409,Taras Stepanenko,MF,ua Ukraine,31,1989,2,2,184,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.01,0.04,0.03,0.04,Matches,ee3519f5
410,Raheem Sterling,FWMF,eng England,26,1994,7,7,639,7.1,3,1,3,0,0,0,0,0.42,0.14,0.56,0.42,0.56,2.4,2.4,0.7,3.2,0.34,0.10,0.44,0.34,0.44,Matches,b400bde0
411,Vlatko Stojanovski,MFFW,mk North Macedonia,23,1997,1,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.21,0.00,0.21,0.21,0.21,Matches,bb67bff1
412,John Stones,DF,eng England,26,1994,7,7,678,7.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.06,0.00,0.06,0.06,0.06,Matches,5eecec3d
413,Jens Stryger Larsen,DF,dk Denmark,29,1991,6,3,288,3.2,0,1,0,0,0,0,0,0.00,0.31,0.31,0.00,0.31,0.0,0.0,0.9,0.9,0.00,0.28,0.28,0.00,0.28,Matches,f91e81c9
414,Niklas Süle,DFMF,de Germany,25,1995,1,0,18,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,e33c06cf
415,Tomáš Suslov,FW,sk Slovakia,18,2002,2,0,26,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,83fe71b8
416,Gustav Svensson,MF,se Sweden,33,1987,1,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,733713ef
417,Karol Świderski,FWMF,pl Poland,24,1997,3,2,163,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.4,0.19,0.01,0.20,0.19,0.20,Matches,41723204
418,Jakub Świerczok,FW,pl Poland,28,1992,1,0,30,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.27,0.00,0.27,0.27,0.27,Matches,cc89c822
419,Serhii Sydorchuk,MF,ua Ukraine,29,1991,5,4,372,4.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.01,0.03,0.03,0.03,Matches,c71e97ba
420,Ádám Szalai,FW,hu Hungary,33,1987,3,3,196,2.2,1,2,1,0,0,1,0,0.46,0.92,1.38,0.46,1.38,0.3,0.3,0.2,0.5,0.14,0.10,0.24,0.14,0.24,Matches,53e07d0b
421,Attila Szalai,DF,hu Hungary,23,1998,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,50ff205b
422,Wojciech Szczęsny,GK,pl Poland,30,1990,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,01b8a2b2
423,Marcus Thuram,MF,fr France,23,1997,1,0,10,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,1.13,1.13,0.00,1.13,Matches,6f8cd6d0
424,Youri Tielemans,MF,be Belgium,23,1997,4,4,338,3.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.3,0.01,0.06,0.07,0.01,0.07,Matches,56f7a928
425,Kieran Tierney,DF,sct Scotland,23,1997,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches,fce2302c
426,Jurriën David Norman Timber,DF,nl Netherlands,19,2001,3,1,142,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matches,41034650
427,Joona Toivio,DF,fi Finland,32,1988,3,3,264,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,Matches,2794a536
428,Dorukhan Toköz,MF,tr Turkey,24,1996,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,c9bdb329
429,Corentin Tolisso,FWMF,fr France,26,1994,3,1,82,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.04,0.05,0.09,0.04,0.09,Matches,652d4c37
430,Rafael Tolói,DF,it Italy,30,1990,4,1,159,1.8,0,1,0,0,0,1,0,0.00,0.57,0.57,0.00,0.57,0.0,0.0,0.1,0.1,0.03,0.03,0.06,0.03,0.06,Matches,c56dc39e
431,Ferrán Torres García,FW,es Spain,20,2000,6,4,366,4.1,2,1,2,0,0,0,0,0.49,0.25,0.74,0.49,0.74,1.4,1.4,0.6,2.0,0.35,0.14,0.49,0.35,0.49,Matches,9e1035f8
432,Pau Francisco Torres,DF,es Spain,24,1997,6,3,374,4.2,0,1,0,0,0,1,0,0.00,0.24,0.24,0.00,0.24,0.6,0.6,0.5,1.0,0.14,0.11,0.25,0.14,0.25,Matches,532e1e4f
433,Aleksandar Trajkovski,FW,mk North Macedonia,28,1992,3,2,174,1.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.2,0.09,0.03,0.12,0.09,0.12,Matches,84bba8b6
434,Adama Traoré Diarra,DFFW,es Spain,25,1996,1,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,9a28eba4
435,Ivan Trichkovski,FWDF,mk North Macedonia,33,1987,3,1,70,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,5d4e9f31
436,Christopher Trimmel,DF,at Austria,33,1987,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,056d2d95
437,Kieran Trippier,DF,eng England,30,1990,5,3,291,3.2,0,1,0,0,0,0,0,0.00,0.31,0.31,0.00,0.31,0.1,0.1,0.4,0.5,0.02,0.13,0.15,0.02,0.15,Matches,21512407
438,Leandro Trossard,DF,be Belgium,26,1994,1,1,74,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.07,0.00,0.07,0.07,0.07,Matches,38ceb24a
439,Viktor Tsygankov,FW,ua Ukraine,23,1997,4,0,142,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.5,0.25,0.08,0.32,0.25,0.32,Matches,f7e87032
440,Ozan Tufan,MF,tr Turkey,25,1995,3,3,171,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.03,0.13,0.16,0.03,0.16,Matches,17d45fb2
441,Andreas Ulmer,DF,at Austria,35,1985,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,1a799243
442,Cengiz Ünder,MF,tr Turkey,23,1997,3,2,206,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.3,0.7,0.20,0.11,0.31,0.20,0.31,Matches,1880614f
443,Jere Juhani Uronen,DF,fi Finland,26,1994,3,3,249,2.8,0,1,0,0,0,0,0,0.00,0.36,0.36,0.00,0.36,0.0,0.0,0.6,0.6,0.00,0.20,0.20,0.00,0.20,Matches,d75f3980
444,Tomáš Vaclík,GK,cz Czech Republic,31,1989,5,5,450,5.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,7b456af7
